Date,Schedule,Intersection,Area
01/04/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Kνωσού και Επιδαύρου",ΗΛΙΟΥΠΟΛΗ
01/04/2022,ΕΚΤΑΚΤΗ,"Γρηγορίου Λαμπράκη και Παπαναστασίου",ΑΡΓΥΡΟΥΠΟΛΗ
01/04/2022,ΕΚΤΑΚΤΗ,"Πευκών & Λευκωσίας",ΗΡΑΚΛΕΙΟ
01/04/2022,ΕΚΤΑΚΤΗ,"Μπαλάνου και Τριβωνιανού",ΑΘΗΝΑ
01/04/2022,ΕΚΤΑΚΤΗ,"Πανόρμου και Θριασίου Πεδίου",ΜΑΓΟΥΛΑ
01/04/2022,ΕΚΤΑΚΤΗ,"Αρριανού και Ησιόδου",ΑΛΙΜΟΣ
01/04/2022,ΕΚΤΑΚΤΗ,"3η και Βήτα",ΕΛΛΗΝΙΚΟ
01/04/2022,ΕΚΤΑΚΤΗ,"Ιθάκης και 3ης Σεπτεμβρίου","ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ"
01/04/2022,ΕΚΤΑΚΤΗ,"Λεωφόρος Αιαντείου και Αρτέμιδος",ΣΑΛΑΜΙΝΑ
01/04/2022,ΕΚΤΑΚΤΗ,"Αρνέλου Αγίας Φιλοθέης",ΦΙΛΟΘΕΗ
01/04/2022,ΕΚΤΑΚΤΗ,"Ταινάρου και Πτολεμαϊδος",ΠΕΡΙΣΤΕΡΙ
01/04/2022,ΕΚΤΑΚΤΗ,"Γνώσεως και Κυβέλης",ΑΛΙΜΟΣ
01/04/2022,ΕΚΤΑΚΤΗ,"Ζαΐμη 15",ΑΘΗΝΑ
02/04/2022,ΕΚΤΑΚΤΗ,"Λέκκα και Βαρυμπόμπης",ΑΧΑΡΝΕΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Αποστολοπούλου και Υψηλάντου",ΠΕΥΚΗ
02/04/2022,ΕΚΤΑΚΤΗ,"Δελφών και Στρατηγού Μακρυγιάννη","ΝΕΟ ΨΥΧΙΚΟ"
02/04/2022,ΕΚΤΑΚΤΗ,"Υρκανίας και Τραλλέων",ΑΘΗΝΑ
02/04/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σπατρίδη και Λεκκάκη",ΑΘΗΝΑ
02/04/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πετρόμπεη Μαυρομιχάλη και Λακωνίας",ΠΕΙΡΑΙΑΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Σενέκα και Τήνου",ΜΕΓΑΡΑ
02/04/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μενίππου και Δωρίδος",ΧΟΛΑΡΓΟΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Σινα και Σόλωνος",ΑΘΗΝΑ
02/04/2022,ΕΚΤΑΚΤΗ,"Αιαντείου και Χίου",ΣΑΛΑΜΙΝΑ
02/04/2022,ΕΚΤΑΚΤΗ,"Λεωφόρος Παναγίας Φανερωμένης και Κομοτηνής",ΑΣΠΡΟΠΥΡΓΟΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Πηνελόπης Δέλτα και Ληξουρίου",ΑΧΑΡΝΕΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Τράλλεων και Υρκανίας",ΑΘΗΝΑ
02/04/2022,ΕΚΤΑΚΤΗ,"Δάμωνος και Μεσολογγίου",ΚΟΡΥΔΑΛΛΟΣ
02/04/2022,ΕΚΤΑΚΤΗ,"Σοφοκλέους και Αιόλου",ΑΘΗΝΑ
03/04/2022,ΕΚΤΑΚΤΗ,"Ζαμάνου και Ήρας",ΓΛΥΦΑΔΑ
03/04/2022,ΕΚΤΑΚΤΗ,"Ιπποκράτους και Δουκίσσης Πλακεντίας","Π. ΠΕΝΤΕΛΗ"
03/04/2022,ΕΚΤΑΚΤΗ,"Μπάκου και Μαντζουράκη",ΑΘΗΝΑ
03/04/2022,ΕΚΤΑΚΤΗ,"Ερυθραίας και Βιθυνίας ΝΕΑ ΚΥΨΕΛΗ",ΑΘΗΝΑ
03/04/2022,ΕΚΤΑΚΤΗ,"Αρχιπελάγους και Προύσης","ΑΝΩ ΓΛΥΦΑΔΑ"
03/04/2022,ΕΚΤΑΚΤΗ,"Χρυσοστόμου Σμύρνης και Λυκούργου",ΚΕΡΑΤΣΙΝΙ
03/04/2022,ΕΚΤΑΚΤΗ,"ΑΓ. ΣΟΦΙΑΣ & ΧΡΙΣΤΟΒΑΣΙΛΗ","Ν. ΨΥΧΙΚΟ"
