id,name_el,name_en,prefecture,area,population
9179,Αγίας Βαρβάρας,Agia Varvara,ΑΘΗΝΩΝ,2.4,26759
9167,Αγίας Παρασκευής,Agia Paraskevi,ΑΘΗΝΩΝ,7.9,62147
9194,Αγίου Δημητρίου,Agios Dimitrios,ΑΘΗΝΩΝ,5,71664
9180,Αγίων Αναργύρων - Καματερού,Agioi Anargiroi - Kamatero,ΑΘΗΝΩΝ,9.2,61462
9207,Αγκιστρίου,Agkistri,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,13.4,1131
9186,Αθηναίων,Athens,ΑΘΗΝΩΝ,39,643452
9181,Αιγάλεω,Aegaleo,ΑΘΗΝΩΝ,6.5,65831
9208,Αίγινας,Aegina,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,87.4,12911
9195,Αλίμου,Alimos,ΑΘΗΝΩΝ,5.9,43174
9168,Αμαρουσίου,Amarousio,ΑΘΗΝΩΝ,12.9,71830
9228,Ασπροπύργου,Aspropirgos,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,102,31381
9215,Αχαρνών,Aharnes,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,107.9,108169
9216,Βάρης - Βούλας - Βουλιαγμένης,Vari - Voula - Vouliagmeni,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,37.2,52546
9169,Βριλησσίων,Vrilissia,ΑΘΗΝΩΝ,3.9,32417
9187,Βύρωνος,Vironas,ΑΘΗΝΩΝ,9.2,59134
9188,Γαλατσίου,Galatsi,ΑΘΗΝΩΝ,4,57909
9196,Γλυφάδας,Glyfada,ΑΘΗΝΩΝ,25.4,89597
9189,Δάφνης - Υμηττού,Dafni - Imittos,ΑΘΗΝΩΝ,2.4,33886
9217,Διονύσου,Dionisos,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,111.5,42376
9229,Ελευσίνας,Elefsina,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,36.6,30147
9197,Ελληνικού - Αργυρούπολης,Elliniko - Argiroupoli,ΑΘΗΝΩΝ,15.4,50027
9190,Ζωγράφου,Zografou,ΑΘΗΝΩΝ,8.5,69874
9191,Ηλιούπολης,Ilioupoli,ΑΘΗΝΩΝ,12.7,76730
9170,Ηρακλείου,Heraklio,ΑΘΗΝΩΝ,4.6,50494
9182,Ιλίου,Ilion,ΑΘΗΝΩΝ,9.3,84004
9192,Καισαριανής,Kesariani,ΑΘΗΝΩΝ,7.8,26269
9198,Καλλιθέας,Kallithea,ΑΘΗΝΩΝ,4.8,97616
9202,Κερατσινίου - Δραπετσώνας,Keratsini - Drapetsona,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,9.3,89536
9171,Κηφισιάς,Kifisia,ΑΘΗΝΩΝ,35.1,72878
9203,Κορυδαλλού,Koridallos,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,4.3,61248
9218,Κρωπίας,Kropia,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,102,30817
9209,Κυθήρων,Kithira,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,300,3644
9219,Λαυρεωτικής,Lavreotiki,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,175.8,25199
9172,Λυκόβρυσης - Πεύκης,Likovrisi - Pefki,ΑΘΗΝΩΝ,4.1,30998
9230,Μάνδρας - Ειδυλλίας,Mandra - Idillia,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,426.2,17822
9220,Μαραθώνος,Marathonas,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,222.8,31331
9221,Μαρκοπούλου Μεσογαίας,Markopoulo Mesogeas,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,81.8,21722
9231,Μεγαρέων,Megara,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,332.9,38033
9173,Μεταμορφώσεως,Metamorfosi,ΑΘΗΝΩΝ,5.5,30174
9199,Μοσχάτου - Ταύρου,Moschato - Tavros,ΑΘΗΝΩΝ,4.5,39661
9174,Νέας Ιωνίας,Nea Ionia,ΑΘΗΝΩΝ,4.3,64611
9200,Νέας Σμύρνης,Nea Smirni,ΑΘΗΝΩΝ,3.5,72853
9204,Νίκαιας - Αγίου Ι. Ρέντη,Nikaia - Agios I. Rentis,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,11.2,103488
9222,Παιανίας,Peania,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,53.2,28036
9201,Παλαιού Φαλήρου,Palaio Faliro,ΑΘΗΝΩΝ,4.6,64863
9223,Παλλήνης,Pallini,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,29.4,59459
9175,Παπάγου - Χολαργού,Papagou - Holargos,ΑΘΗΝΩΝ,7.3,45266
9205,Πειραιώς,Piraeus,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,10.9,168151
9176,Πεντέλης,Penteli,ΑΘΗΝΩΝ,36.1,35610
9206,Περάματος,Perama,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,14.7,25628
9183,Περιστερίου,Peristeri,ΑΘΗΝΩΝ,10.1,133630
9184,Πετρούπολης,Petroupoli,ΑΘΗΝΩΝ,6.8,60146
9210,Πόρου,Poros,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,49.6,3261
9224,Ραφήνας - Πικερμίου,Rafina - Pikermi,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,40.5,22327
9211,Σαλαμίνας,Salamina,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,93.4,37220
9225,Σαρωνικού,Saronikos,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,139.1,30047
9226,Σπάτων - Αρτέμιδος,Spata - Artemida,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,73.7,34915
9212,Σπετσών,Spetses,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,27.1,3748
9213,Τροιζηνίας,Trizinia,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,240.9,6020
9214,Ύδρας,Hydra,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,64.4,2070
9193,Φιλαδελφείας - Χαλκηδόνος,Filadelfeia - Halkidona,ΑΘΗΝΩΝ,3.7,34958
9177,Φιλοθέης - Ψυχικού,Filothei - Psychiko,ΑΘΗΝΩΝ,6.1,27636
9232,Φυλής,Fyli,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,109.1,48157
9185,Χαϊδαρίου,Chaidari,ΑΘΗΝΩΝ,22.7,47051
9178,Χαλανδρίου,Chalandri,ΑΘΗΝΩΝ,10.8,77102
9227,Ωρωπού,Oropos,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,338.2,31811
