Date,Schedule,Intersection,Area
01/01/2023,ΕΚΤΑΚΤΗ,"Ναυαρίνου και Βελισσαρίου",ΧΟΛΑΡΓΟΣ
01/01/2023,ΕΚΤΑΚΤΗ,"Σκουφά και Κωνσταντινουπόλεως",ΑΧΑΡΝΕΣ
01/01/2023,ΕΚΤΑΚΤΗ,"Κρατίνου και Κωστή Παλαμά",ΗΛΙΟΥΠΟΛΗ
01/01/2023,ΕΚΤΑΚΤΗ,"Θράκης και Φιλαδελφείας","Ν. ΣΜΥΡΝΗ Π"
01/01/2023,ΕΚΤΑΚΤΗ,"Ιλίου και Αιόλου",ΠΕΥΚΗ
01/01/2023,ΕΚΤΑΚΤΗ,"Ηρακλείτου και Βίκτωρος Ουγκώ",ΑΧΑΡΝΕΣ
02/01/2023,ΕΚΤΑΚΤΗ,"Αγνώστων Μαρτύρων και Συκουτρή","Ν. ΣΜΥΡΝΗ Π"
02/01/2023,ΕΚΤΑΚΤΗ,"Αρκαδίου και Ηρώων Πολυτεχνείου","ΚΑΤΩ ΧΑΛΑΝΔΡΙ"
02/01/2023,ΕΚΤΑΚΤΗ,"Λαίου Στυλιανού και Κολχίδος",ΑΘΗΝΑ
02/01/2023,ΕΚΤΑΚΤΗ,"Νικηταρά και Διονύσου",ΜΕΤΑΜΟΡΦΩΣΗ
02/01/2023,ΕΚΤΑΚΤΗ,"Πλατεία Εθνικής Αντιστάσεως και Λεωφόρο Ειρήνης",ΗΛΙΟΥΠΟΛΗ
02/01/2023,ΕΚΤΑΚΤΗ,"Κυζίκου και Κύπρου","Ν. ΠΕΡΑΜΟΣ"
02/01/2023,ΕΚΤΑΚΤΗ,"Κενταύρων και Μαραθωνομάχων",ΚΕΡΑΤΣΙΝΙ
02/01/2023,ΕΚΤΑΚΤΗ,"Μεγάλου Βασιλείου και Καλύμνου",ΒΟΥΛΑ
02/01/2023,ΕΚΤΑΚΤΗ,"Κουμουνδούρου και Δεληγιάννη",ΑΛΙΜΟΣ
02/01/2023,ΕΚΤΑΚΤΗ,"Ημαθίας και Αρχελάου",ΑΧΑΡΝΕΣ
02/01/2023,ΕΚΤΑΚΤΗ,"Ήρας και Ακτημόνων",ΓΑΛΑΤΣΙ
03/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Υπερείδου και Διογένους",ΗΛΙΟΥΠΟΛΗ
03/01/2023,ΕΚΤΑΚΤΗ,"Εθνικής Αντιστάσεως και Παγκάλου",ΑΧΑΡΝΕΣ
03/01/2023,ΕΚΤΑΚΤΗ,"Σμύρνης και Λευκάδος","ΓΛΥΚΑ ΝΕΡΑ"
03/01/2023,ΕΚΤΑΚΤΗ,"Ταϋγέτου και Σκιάθου",ΑΘΗΝΑ
03/01/2023,ΕΚΤΑΚΤΗ,"Αιγύπτου και Λευκωσίας",ΓΛΥΦΑΔΑ
03/01/2023,ΕΚΤΑΚΤΗ,"Ανεξαρτησίας και Μιαούλη",ΖΕΦΥΡΙ
03/01/2023,ΕΚΤΑΚΤΗ,"Μπουμπουλίνας και Μαντώς Μαυρογένους",ΠΕΝΤΕΛΗ
03/01/2023,ΕΚΤΑΚΤΗ,"Αθανασίου Διάκου και Σαλαμίνος",ΣΑΛΑΜΙΝΑ
03/01/2023,ΕΚΤΑΚΤΗ,"Λευκωσίας και Αιγύπτου",ΓΛΥΦΑΔΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Παρνασσού και Πίνδου","ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ"
04/01/2023,ΕΚΤΑΚΤΗ,"Α. Παναγούλη & Β. Τσιτσάνη",ΓΛΥΦΑΔΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Ζαμάνου & Χριστόφορου Νέζερ",ΓΛΥΦΑΔΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Χαριουπόλεως & Λ. Συγγρού","Ν. ΣΜΥΡΝΗ Α"
04/01/2023,ΕΚΤΑΚΤΗ,"Αγ. Νικολάου & Σ. Καράγιωργα",ΓΛΥΦΑΔΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Αύρας και Σύρου",ΚΕΦΑΛΑΡΙ
04/01/2023,ΕΚΤΑΚΤΗ,"Ήρας και Εστίας",ΜΕΛΙΣΣΙΑ
04/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πυθαγόρα και Ξενοφώντος",ΗΛΙΟΥΠΟΛΗ
04/01/2023,ΕΚΤΑΚΤΗ,"Τζουμαγιάς και Γαρδίκη",ΗΛΙΟΥΠΟΛΗ
04/01/2023,ΕΚΤΑΚΤΗ,"Αρτάκης και Τραπεζούντος","Ν. ΣΜΥΡΝΗ Π"
04/01/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Κύριζας και Τήνου",ΣΑΛΑΜΙΝΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Αγίου Νικολάου και Σάκη Καράγιωργα",ΓΛΥΦΑΔΑ
04/01/2023,ΕΚΤΑΚΤΗ,"Μακράς Στοάς και Ιπποκράτους",ΠΕΙΡΑΙΑΣ
05/01/2023,ΕΚΤΑΚΤΗ,"Τραπεζούντος & Αμισού","Ν. ΣΜΥΡΝΗ Π"
05/01/2023,ΕΚΤΑΚΤΗ,"Π. Δέλτα & Δ. Καμπούρογλου",ΑΘΗΝΑ
05/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πυθαγόρα και Ξενοφωντος",ΗΛΙΟΥΠΟΛΗ
05/01/2023,ΕΚΤΑΚΤΗ,"Αγ.Ιωάννου Προδρόμου και Αγγελοπούλου",ΑΣΠΡΟΠΥΡΓΟΣ
05/01/2023,ΕΚΤΑΚΤΗ,"Μυκόνου και Κυθήρων ΠΕΡΙΟΧΗ ΡΕΣΤΗ",ΣΑΛΑΜΙΝΑ
05/01/2023,ΕΚΤΑΚΤΗ,"Πέλλης και Φαιστού",ΚΗΦΙΣΙΑ
05/01/2023,ΕΚΤΑΚΤΗ,"Εθνικής Αντιστάσεως και Κυκλάδων (περιοχή Στενό Φανερωμένης)",ΣΑΛΑΜΙΝΑ
05/01/2023,ΕΚΤΑΚΤΗ,"Αγίου Σύλλα και Ερμού",ΜΕΛΙΣΣΙΑ
06/01/2023,ΕΚΤΑΚΤΗ,"Λεοντίου και Πωγωνάτου",ΙΛΙΟΝ
06/01/2023,ΕΚΤΑΚΤΗ,"Ηπείρου και Κοραή","ΑΓ. ΠΑΡΑΣΚΕΥΗ"
06/01/2023,ΕΚΤΑΚΤΗ,"Κωνσταντινουπόλεως και Κορυτσάς",ΧΑΙΔΑΡΙ
06/01/2023,ΕΚΤΑΚΤΗ,"Ιωάννη Μεταξά και Κανάρη",ΒΟΥΛΑ
06/01/2023,ΕΚΤΑΚΤΗ,"Δαυίδ Αμαρίλιο 4 Πάροδος",ΜΑΓΟΥΛΑ
06/01/2023,ΕΚΤΑΚΤΗ,"Αμφείας και Μεγαλουπόλεως",ΑΘΗΝΑ
07/01/2023,ΕΚΤΑΚΤΗ,"Αγίας Μαρίνας και Σοράνογλου",ΜΕΛΙΣΣΙΑ
07/01/2023,ΕΚΤΑΚΤΗ,"Κολοκοτρώνη και Ναυπλίου.","Π. ΦΑΛΗΡΟ"
07/01/2023,ΕΚΤΑΚΤΗ,"Λεωφ. Ηρακλείου και Ζαμπελίου",ΑΘΗΝΑ
07/01/2023,ΕΚΤΑΚΤΗ,"Καραϊσκάκη και Κανελλοπούλου",ΕΛΕΥΣΙΝΑ
07/01/2023,ΕΚΤΑΚΤΗ,"Λεωφ. Κηφισσού και Καζαντζάκη Νίκου","ΑΓ. Ι. ΡΕΝΤΗΣ"
07/01/2023,ΕΚΤΑΚΤΗ,"Αγίων Δέκα και Αγίου Προκοπίου, περιοχή Ρέστη",ΣΑΛΑΜΙΝΑ
07/01/2023,ΕΚΤΑΚΤΗ,"Φιλικής Εταιρείας και Θερμοπυλών",ΚΟΡΥΔΑΛΛΟΣ
07/01/2023,ΕΚΤΑΚΤΗ,"Φλέμινγκ και Ζωοδόχου Πηγής",ΒΥΡΩΝΑΣ
08/01/2023,ΕΚΤΑΚΤΗ,"Μητρόπουλου Δημ. και Τήνου",ΔΑΣΟΣ
08/01/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Αθηνών και Γοργοποτάμου (ΕΠΗΡΕΑΖΕΤΑΙ ΣΧΕΔΟΝ ΟΛΟΣ Ο ΔΗΜΟΣ ΑΙΓΑΛΕΩ)",ΑΙΓΑΛΕΩ
08/01/2023,ΕΚΤΑΚΤΗ,"Λεωφ. 25ης Μαρτίου και Λεωφ. Δημοκρατίας",ΜΕΛΙΣΣΙΑ
08/01/2023,ΕΚΤΑΚΤΗ,"Αρχιεπισκόπου Μακαρίου και Λεωφ. Νέας Πεντέλης","Ν. ΠΕΝΤΕΛΗ"
08/01/2023,ΕΚΤΑΚΤΗ,"Ψηλορείτη και Υμηττού",ΗΛΙΟΥΠΟΛΗ
08/01/2023,ΕΚΤΑΚΤΗ,"Ανδρέα Κάλβου και Βασ. Γεωργίου Β΄",ΧΑΛΑΝΔΡΙ
08/01/2023,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και 25ης Μαρτίου","Ν. ΠΕΡΑΜΟΣ"
08/01/2023,ΕΚΤΑΚΤΗ,"Υψηλάντου και Τσαμαδού",ΠΕΙΡΑΙΑΣ
08/01/2023,ΕΚΤΑΚΤΗ,"Ορυζομύλων και Ορέστου",ΑΙΓΑΛΕΩ
08/01/2023,ΕΚΤΑΚΤΗ,"Έκτακτη βλάβη σε δεξαμενή της Ε.ΥΔ.Α.Π. και επηρεάζει τις δηλωμένες περιοχές.","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
08/01/2023,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και Αγ.Δημητρίου","Ν. ΠΕΡΑΜΟΣ"
08/01/2023,ΕΚΤΑΚΤΗ,,ΑΛΣΟΣ
09/01/2023,ΕΚΤΑΚΤΗ,"Αρτέμιδος και Ιάσονος",ΒΟΥΛΙΑΓΜΕΝΗ
09/01/2023,ΕΚΤΑΚΤΗ,"Αρχιεπισκόπου Μακαρίου και Αγίου Σύλλα","Ν. ΠΕΝΤΕΛΗ"
09/01/2023,ΕΚΤΑΚΤΗ,"Μαραθώνος και Σύρου",ΣΑΛΑΜΙΝΑ
09/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κάδμου & Αριστοτέλους",ΗΛΙΟΥΠΟΛΗ
09/01/2023,ΕΚΤΑΚΤΗ,"Ευφρονίου & Ουμπλιανής",ΚΑΙΣΑΡΙΑΝΗ
09/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Παλαμά & Λαμπράκη (Σύνορα με Κορυδαλλό)",ΝΙΚΑΙΑ
09/01/2023,ΕΚΤΑΚΤΗ,"Σητείας & Κακίση Θεοδώρας","ΑΓ. ΒΑΡΒΑΡΑ"
09/01/2023,ΕΚΤΑΚΤΗ,"Διγενή Ακρίτα & Ευρυτανίας",ΑΙΓΑΛΕΩ
09/01/2023,ΕΚΤΑΚΤΗ,"Πραξιτέλους & Αγησιλάου",ΚΑΛΛΙΘΕΑ
09/01/2023,ΕΚΤΑΚΤΗ,"Σωτήρος & Α. Ιωάννου",ΑΙΑΝΤΕΙΟ
09/01/2023,ΕΚΤΑΚΤΗ,"Αγ. Κωνσταντίνου & Σωκράτους",ΑΘΗΝΑ
09/01/2023,ΕΚΤΑΚΤΗ,"Αμασείας & Μενεκράτους","Ν. ΣΜΥΡΝΗ Α"
09/01/2023,ΕΚΤΑΚΤΗ,"Ιακ. Διαμαντοπούλου & Ξενοφώντος",ΒΟΥΛΑ
09/01/2023,ΕΚΤΑΚΤΗ,"Λεωφόρο Κηφισίας και Σοφοκλέους",ΜΑΡΟΥΣΙ
10/01/2023,ΕΚΤΑΚΤΗ,"Καφαντάρη Γ. και Κωνσταντοπούλου Ηρώς","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
10/01/2023,ΕΚΤΑΚΤΗ,"Αμυκλών και Εθνικής Αντιστάσεως","ΚΑΤΩ ΧΑΛΑΝΔΡΙ"
10/01/2023,ΕΚΤΑΚΤΗ,"Κηφισού και Χελιδονούς",ΚΗΦΙΣΙΑ
10/01/2023,ΕΚΤΑΚΤΗ,"Ζαϊμη και Βούλγαρη ΣΤΕΡΗΣΕΙΣ ΧΑΜΗΛΕΣ ΠΙΕΣΕΙΣ ΑΠΟ ΗΛΕΚΤΡΟΛΟΓΙΚΗ ΒΛΑΒΗ ΣΕ ΑΝΤΛΙΟΣΤΑΣΙΟ ΠΕΡΙΟΧΗΣ ΣΑΣ","ΑΓ. ΜΑΡΙΝΑ"
10/01/2023,ΕΚΤΑΚΤΗ,"28ΗΣ Οκτωβρίου και Καστάνη Γ. ΝΕΑ ΠΕΡΑΜΟΣ",ΜΕΓΑΡΑ
10/01/2023,ΕΚΤΑΚΤΗ,"Χίου και Καρδίτσας","ΚΑΤΩ ΧΑΛΑΝΔΡΙ"
10/01/2023,ΕΚΤΑΚΤΗ,"Διγενή Ακρίτα και Κιλικίας","Ν. ΣΜΥΡΝΗ Α"
11/01/2023,ΕΚΤΑΚΤΗ,"Αναπήρων Πολέμου και 25ης Μαρτίου",ΒΥΡΩΝΑΣ
11/01/2023,ΕΚΤΑΚΤΗ,"Μεγάλου Σπηλαίου και Αίνου","Ν. ΣΜΥΡΝΗ Α"
11/01/2023,ΕΚΤΑΚΤΗ,"Χίου και Τσαλδάρη",ΧΟΛΑΡΓΟΣ
11/01/2023,ΕΚΤΑΚΤΗ,"Αγίου Κωνσταντίνου & Ελένης και Φωκίδος","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
11/01/2023,ΕΚΤΑΚΤΗ,"Βικέλα και Αχαρνών","ΑΓ. ΕΛΕΥΘΕΡΙΟΣ"
11/01/2023,ΕΚΤΑΚΤΗ,"Παναγιάς Φανερωμένης και Κερκύρας",ΑΣΠΡΟΠΥΡΓΟΣ
11/01/2023,ΕΚΤΑΚΤΗ,"Σμύρνης και Κολοκυθά","ΑΓ. ΒΑΡΒΑΡΑ"
11/01/2023,ΕΚΤΑΚΤΗ,"Παπαφράγκου και Λεωφ.Καταδρομών( Κουλουριώτικο Μονοπάτι )",ΜΕΓΑΡΑ
11/01/2023,ΕΚΤΑΚΤΗ,"Πολυκράτους & 25ης Μαρτίου","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
11/01/2023,ΕΚΤΑΚΤΗ,"Λευκών Ορέων και Πέλλης",ΜΕΤΑΜΟΡΦΩΣΗ
11/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Βενιζέλου Ελευθ. και 31η",ΕΛΛΗΝΙΚΟ
11/01/2023,ΕΚΤΑΚΤΗ,"Ευάνδρου και Αιτωλών",ΑΝΘΟΥΠΟΛΗ
11/01/2023,ΕΚΤΑΚΤΗ,"Αλατσατών 14","Ν. ΙΩΝΙΑ"
11/01/2023,ΕΚΤΑΚΤΗ,"Κουντουριώτου & Σαπφούς",ΜΑΡΟΥΣΙ
11/01/2023,ΕΚΤΑΚΤΗ,"Λένορμαν & Οδυσσέως",ΑΘΗΝΑ
11/01/2023,ΕΚΤΑΚΤΗ,"Θ. Παλαιολόγου & Ιαπετού",ΑΧΑΡΝΕΣ
12/01/2023,ΕΚΤΑΚΤΗ,"Πηλίου και Βύρωνος",ΚΕΡΑΤΣΙΝΙ
12/01/2023,ΕΚΤΑΚΤΗ,"Λεωφ. Αγ. Ιωάννου Καρέα και 28ης Οκτωβρίου",ΒΥΡΩΝΑΣ
12/01/2023,ΕΚΤΑΚΤΗ,"Γεμιστού Πλήθωνος και Αλ. Πάντου",ΚΑΛΛΙΘΕΑ
12/01/2023,ΕΚΤΑΚΤΗ,"Kατσίμπα και Παπαδήμα","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
12/01/2023,ΕΚΤΑΚΤΗ,"Μαγνησίας και Αχαρνών","ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ"
12/01/2023,ΕΚΤΑΚΤΗ,"28ΗΣ ΟΚΤΩΒΡΙΟΥ και ΠΑΛΑΙΑ ΕΘΝΙΚΗ ΟΔΟΣ",ΜΕΓΑΡΑ
12/01/2023,ΕΚΤΑΚΤΗ,"Καπετάν Ευκλείδη και Ελλάς Ποντίων",ΑΣΠΡΟΠΥΡΓΟΣ
12/01/2023,ΕΚΤΑΚΤΗ,"Καραγιώργη Σερβίας και Παπαδιαμάντη",ΚΑΣΤΕΛΛΑ
12/01/2023,ΕΚΤΑΚΤΗ,"Μπότσαρη Μαρκ και 25ης Μαρτίου ΒΑΣΙΛΙΚΑ",ΣΑΛΑΜΙΝΑ
12/01/2023,ΕΚΤΑΚΤΗ,"Μπουμπουλίνας και Ξάνθου",ΑΧΑΡΝΕΣ
12/01/2023,ΕΚΤΑΚΤΗ,"Ορφανίδου και Σιβόρων",ΑΘΗΝΑ
12/01/2023,ΕΚΤΑΚΤΗ,"Βελεστίνου και Έλλης","Ν. ΠΕΝΤΕΛΗ"
12/01/2023,ΕΚΤΑΚΤΗ,"Αγ.Κωνσταντίνου και Λευκωσίας",ΜΕΤΑΜΟΡΦΩΣΗ
13/01/2023,ΕΚΤΑΚΤΗ,"Μακεδονίας και Αλιέντε",ΚΑΜΑΤΕΡΟ
13/01/2023,ΕΚΤΑΚΤΗ,"Μπούκη και Κωνσταντινουπόλεως",ΑΧΑΡΝΕΣ
13/01/2023,ΕΚΤΑΚΤΗ,"Υγείας και Αθηνάς",ΚΟΡΥΔΑΛΛΟΣ
13/01/2023,ΕΚΤΑΚΤΗ,"Κωνσταντινουπόλεως και Σκουφά",ΑΧΑΡΝΕΣ
13/01/2023,ΕΚΤΑΚΤΗ,"Αγησιλάου και Πλουτάρχου","Π. ΦΑΛΗΡΟ"
13/01/2023,ΕΚΤΑΚΤΗ,"Χαϊμαντά και Ρόδου",ΜΑΡΟΥΣΙ
13/01/2023,ΕΚΤΑΚΤΗ,"Άθου και Λ.Παπάγου",ΗΛΙΟΥΠΟΛΗ
13/01/2023,ΕΚΤΑΚΤΗ,"Αγίου Αντωνίου και Πλατάνων",ΑΧΑΡΝΕΣ
14/01/2023,ΕΚΤΑΚΤΗ,"29η και Μυστρά",ΕΛΛΗΝΙΚΟ
14/01/2023,ΕΚΤΑΚΤΗ,"Ιωνίας & Λεβίδου",ΚΗΦΙΣΙΑ
14/01/2023,ΕΚΤΑΚΤΗ,"Μακεδονίας & Κοθωκιδών",ΑΣΠΡΟΠΥΡΓΟΣ
14/01/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ηπείρου & Δημητρακοπούλου",ΚΟΡΥΔΑΛΛΟΣ
14/01/2023,ΕΚΤΑΚΤΗ,"Ν. Στράτου & Βαρίκα","ΑΓ. Ι. ΡΕΝΤΗΣ"
14/01/2023,ΕΚΤΑΚΤΗ,"Αγίας Λαύρας & Δαβάκη - Πίνδου",ΖΩΓΡΑΦΟΣ
