id,name_el,prefecture,area,population
9179,Αγίας Βαρβάρας,ΑΘΗΝΩΝ,2.4,26759
9167,Αγίας Παρασκευής,ΑΘΗΝΩΝ,7.9,62147
9194,Αγίου Δημητρίου,ΑΘΗΝΩΝ,5,71664
9180,Αγίων Αναργύρων - Καματερού,ΑΘΗΝΩΝ,9.2,61462
9207,Αγκιστρίου,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,13.4,1131
9186,Αθηναίων,ΑΘΗΝΩΝ,39,643452
9181,Αιγάλεω,ΑΘΗΝΩΝ,6.5,65831
9208,Αίγινας,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,87.4,12911
9195,Αλίμου,ΑΘΗΝΩΝ,5.9,43174
9168,Αμαρουσίου,ΑΘΗΝΩΝ,12.9,71830
9228,Ασπροπύργου,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,102,31381
9215,Αχαρνών,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,107.9,108169
9216,Βάρης - Βούλας - Βουλιαγμένης,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,37.2,52546
9169,Βριλησσίων,ΑΘΗΝΩΝ,3.9,32417
9187,Βύρωνος,ΑΘΗΝΩΝ,9.2,59134
9188,Γαλατσίου,ΑΘΗΝΩΝ,4,57909
9196,Γλυφάδας,ΑΘΗΝΩΝ,25.4,89597
9189,Δάφνης - Υμηττού,ΑΘΗΝΩΝ,2.4,33886
9217,Διονύσου,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,111.5,42376
9229,Ελευσίνας,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,36.6,30147
9197,Ελληνικού - Αργυρούπολης,ΑΘΗΝΩΝ,15.4,50027
9190,Ζωγράφου,ΑΘΗΝΩΝ,8.5,69874
9191,Ηλιούπολης,ΑΘΗΝΩΝ,12.7,76730
9170,Ηρακλείου,ΑΘΗΝΩΝ,4.6,50494
9182,Ιλίου,ΑΘΗΝΩΝ,9.3,84004
9192,Καισαριανής,ΑΘΗΝΩΝ,7.8,26269
9198,Καλλιθέας,ΑΘΗΝΩΝ,4.8,97616
9202,Κερατσινίου - Δραπετσώνας,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,9.3,89536
9171,Κηφισιάς,ΑΘΗΝΩΝ,35.1,72878
9203,Κορυδαλλού,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,4.3,61248
9218,Κρωπίας,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,102,30817
9209,Κυθήρων,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,300,3644
9219,Λαυρεωτικής,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,175.8,25199
9172,Λυκόβρυσης - Πεύκης,ΑΘΗΝΩΝ,4.1,30998
9230,Μάνδρας - Ειδυλλίας,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,426.2,17822
9220,Μαραθώνος,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,222.8,31331
