Ημερομηνία,ΕΥΗΝΟΣ,ΜΑΡΑΘΩΝΑΣ,ΜΟΡΝΟΣ,ΥΛΙΚΗ,ΣΥΝΟΛΟ
2023-12-31,52856000,26005000,469542000,345412000,893815000
2024-01-01,52985000,26005000,469257000,345412000,893659000
2024-01-02,53114000,25962000,468543000,345412000,893031000
2024-01-03,53243000,25962000,467544000,345412000,892161000
2024-01-04,53243000,25984000,466547000,345412000,891186000
2024-01-05,53373000,25962000,465552000,345412000,890299000
2024-01-06,51833000,25941000,465978000,345412000,889164000
2024-01-07,50322000,25899000,466832000,345600000,888653000
2024-01-08,52985000,25920000,468400000,345600000,892905000
2024-01-09,53892000,25920000,474406000,345600000,899818000
2024-01-10,53632000,25962000,475124000,345600000,900318000
2024-01-11,52856000,25984000,475843000,345788000,900471000
2024-01-12,51706000,25984000,479876000,345788000,903354000
2024-01-13,50571000,25941000,482765000,345788000,905065000
2024-01-14,49083000,25941000,484938000,345788000,905750000
2024-01-15,47744000,25857000,486680000,345788000,906069000
2024-01-16,47142000,25773000,488861000,345788000,907564000
2024-01-17,47142000,25710000,491629000,345788000,910269000
2024-01-18,46545000,25647000,493381000,345976000,911549000
2024-01-19,44783000,25605000,495137000,345976000,911501000
2024-01-20,45132000,25542000,496602000,345976000,913252000
2024-01-21,44089000,25500000,498069000,345976000,913634000
2024-01-22,43061000,25459000,499391000,345976000,913887000
2024-01-23,41936000,25417000,500715000,345976000,914044000
2024-01-24,41601000,25334000,500273000,346164000,913372000
2024-01-25,42047000,25271000,499685000,346164000,913167000
2024-01-26,41048000,25188000,500567000,346164000,912967000
2024-01-27,39737000,25085000,501893000,346164000,912879000
2024-01-28,38282000,25023000,503072000,345976000,912353000
2024-01-29,36858000,24961000,504400000,345976000,912195000
2024-01-30,35926000,24981000,505583000,346164000,912654000
2024-01-31,34779000,25023000,506766000,346728000,913296000
2024-02-01,33653000,25023000,507803000,347292000,913771000
2024-02-02,32437000,24961000,508693000,347292000,913383000
2024-02-03,31031000,24817000,509433000,347292000,912573000
2024-02-04,29554000,24714000,510176000,347480000,911924000
2024-02-05,28215000,24611000,511067000,347668000,911561000
2024-02-06,26808000,24570000,511959000,347856000,911193000
2024-02-07,25436000,24529000,512853000,347856000,910674000
2024-02-08,25436000,24448000,512406000,348044000,910334000
2024-02-09,25630000,24366000,511662000,348044000,909702000
2024-02-10,25825000,24285000,511067000,348232000,909409000
2024-02-11,26020000,24204000,510474000,348420000,909118000
2024-02-12,26412000,24102000,510474000,348420000,909408000
2024-02-13,27206000,24062000,510622000,348420000,910310000
2024-02-14,27809000,24001000,510028000,348796000,910634000
2024-02-15,28215000,23981000,509582000,348796000,910574000
2024-02-16,28521000,24001000,508841000,348796000,910159000
2024-02-17,28829000,24001000,508247000,349172000,910249000
2024-02-18,29138000,23961000,507507000,349172000,909778000
2024-02-19,29346000,23880000,506914000,349172000,909312000
2024-02-20,29658000,23800000,506175000,349172000,908805000
2024-02-21,29867000,23720000,505435000,349172000,908194000
2024-02-22,29972000,23679000,504843000,349172000,907666000
2024-02-23,30077000,23599000,504104000,349172000,906952000
2024-02-24,30182000,23559000,503662000,349360000,906763000
2024-02-25,30712000,23479000,503072000,349360000,906623000
2024-02-26,31568000,23380000,503072000,349360000,907380000
2024-02-27,32876000,23380000,502630000,350112000,908998000
2024-02-28,33653000,23300000,502040000,350491000,909484000
2024-02-29,34213000,23261000,501451000,350491000,909416000
2024-03-01,35121000,23181000,500862000,350300000,909464000
2024-03-02,39006000,23142000,502335000,350873000,915356000
2024-03-03,40718000,23082000,502335000,352019000,918154000
2024-03-04,41824000,22964000,502187000,352783000,919758000
2024-03-05,43175000,22846000,502630000,353356000,922007000
2024-03-06,44435000,22787000,502777000,353929000,923928000
2024-03-07,45249000,22708000,502482000,354311000,924750000
2024-03-08,46308000,22650000,502777000,354693000,926428000
2024-03-09,47262000,22572000,502630000,354884000,927348000
2024-03-10,47986000,22493000,502187000,355075000,927741000
2024-03-11,48716000,22455000,501598000,355075000,927844000
2024-03-12,49453000,22493000,501009000,355075000,928030000
2024-03-13,50697000,22532000,501009000,355266000,929504000
2024-03-14,51706000,22611000,500420000,355266000,930003000
2024-03-15,52599000,22689000,499832000,355266000,930386000
2024-03-16,53373000,22728000,499538000,355457000,931096000
2024-03-17,54023000,22767000,499391000,355457000,931638000
2024-03-18,54547000,22846000,498950000,355457000,931800000
2024-03-19,55074000,22865000,498509000,355266000,931714000
2024-03-20,55604000,22905000,498216000,355266000,931991000
2024-03-21,56004000,23003000,497628000,355457000,932092000
2024-03-22,56405000,23043000,497189000,355457000,932094000
2024-03-23,58031000,23880000,496602000,355457000,933970000
2024-03-24,57214000,22885000,496162000,355457000,931718000
2024-03-25,57622000,22689000,495429000,355457000,931197000
2024-03-26,58031000,22650000,494844000,355457000,930982000
2024-03-27,58442000,22572000,494551000,355457000,931022000
2024-03-28,58717000,22493000,494258000,355075000,930543000
2024-03-29,59132000,22318000,493819000,354884000,930153000
2024-03-30,59409000,22222000,493234000,354884000,929749000
2024-03-31,59687000,22067000,492796000,354693000,929243000
2024-04-01,59966000,21913000,492067000,354311000,928257000
2024-04-02,60246000,21875000,491046000,354120000,927287000
2024-04-03,60527000,21875000,490463000,353929000,926794000
2024-04-04,60809000,21894000,489589000,353547000,925839000
2024-04-05,61091000,21913000,488716000,353165000,924885000
2024-04-06,61233000,21990000,488134000,352783000,924140000
2024-04-07,61517000,22048000,487116000,352592000,923273000
2024-04-08,61801000,22105000,486244000,352401000,922551000
2024-04-09,62087000,22202000,485228000,352019000,921536000
2024-04-10,62230000,22280000,484357000,351637000,920504000
2024-04-11,62373000,22318000,483488000,351446000,919625000
2024-04-12,62517000,22357000,482620000,351064000,918558000
2024-04-13,62661000,22435000,481464000,350682000,917242000
2024-04-14,62805000,22513000,480453000,350300000,916071000
2024-04-15,62949000,22650000,479443000,350300000,915342000
2024-04-16,63093000,22708000,478434000,350112000,914347000
2024-04-17,63238000,22807000,477282000,349736000,913063000
2024-04-18,63383000,22905000,476275000,349548000,912111000
2024-04-19,63528000,23003000,475124000,349172000,910827000
2024-04-20,63819000,23122000,474550000,349172000,910663000
2024-04-21,63965000,23280000,473690000,348796000,909731000
2024-04-22,64257000,23400000,472830000,348420000,908907000
2024-04-23,64403000,23459000,472258000,348044000,908164000
2024-04-24,64697000,23539000,471400000,347668000,907304000
2024-04-25,64844000,23559000,470398000,347668000,906469000
2024-04-26,64991000,23599000,469399000,347104000,905093000
2024-04-27,64991000,23679000,468543000,346728000,903941000
2024-04-28,65139000,23760000,467686000,346540000,903125000
2024-04-29,65139000,23760000,467686000,346540000,903125000
2024-04-30,65404000,23961000,465552000,345788000,900705000
2024-05-01,65537000,24082000,464557000,345412000,899588000
2024-05-02,65670000,24204000,463704000,345036000,898614000
2024-05-03,65670000,24285000,462569000,344660000,897184000
2024-05-04,65803000,24407000,461294000,344284000,895788000
2024-05-05,65936000,24550000,460022000,344096000,894604000
2024-05-06,65936000,24673000,458750000,343720000,893079000
2024-05-07,65936000,24858000,457480000,343532000,891806000
2024-05-08,66069000,24858000,456210000,343156000,890293000
2024-05-09,66069000,24899000,454804000,342780000,888552000
2024-05-10,66203000,25002000,453680000,342404000,887289000
2024-05-11,66471000,25147000,453680000,342216000,887514000
2024-05-12,66605000,25230000,452978000,341840000,886653000
2024-05-13,66739000,25292000,451996000,341464000,885491000
